Neighbourhood,Latitude,Longitude,Bakery_Count,Mean_bakery_rating,Cafe_Count,Mean_cafe_rating,ConvenienceStore_Count,Mean_conveniencestore_rating,Food_Count,Mean_Food_rating,Supermarket_Count,Mean_supermarket_rating,MealDelivery_Count,Mean_mealdelivery_rating,Restaurant_Count,Mean_restaurant_rating
Agol,23.027760000000054,72.60027000000008,31,4.0249999999999995,43,4.1,1,,60,3.9863636363636363,38,4.380952380952381,1,5.0,58,3.973469387755101
Ahmedabad Cantonment,23.027760000000054,72.60027000000008,31,4.0249999999999995,43,4.1,1,,60,3.9863636363636363,38,4.380952380952381,1,5.0,58,3.973469387755101
Alam Roza,23.00212000000005,72.54979000000003,24,4.25,15,4.333333333333333,0,0.0,60,3.9422222222222225,5,4.033333333333333,2,4.1,60,4.2749999999999995
Ambawadi,23.018850000000054,72.55441000000008,21,4.375,53,4.230952380952381,1,,60,3.909433962264152,6,4.525,5,3.5,60,4.091836734693878
Amraiwadi,23.007350000000034,72.62268000000007,14,4.344444444444445,25,4.150000000000001,1,,60,4.008333333333334,15,4.369999999999999,0,0.0,60,4.0270833333333345
Anand Nagar (Ahmedabad),23.011390000000066,72.51712000000003,40,4.3428571428571425,60,4.189361702127658,3,4.1,60,4.0425,20,4.283333333333333,8,4.071428571428571,60,4.101923076923077
Asarwa,23.04708000000005,72.60481000000004,11,4.2125,16,4.325,0,0.0,58,4.096774193548388,6,4.5,2,,60,3.9693877551020407
Asarwa Chakla,23.04225742945364,72.60456625728018,12,4.1899999999999995,18,4.5,0,0.0,60,4.3921052631578945,10,4.257142857142857,1,,60,4.102127659574469
Bahiyal,23.027760000000054,72.60027000000008,31,4.0249999999999995,43,4.1,1,,60,3.9863636363636363,38,4.380952380952381,1,5.0,58,3.973469387755101
Bapunagar,23.034760000000066,72.63024000000007,16,4.253846153846154,37,4.341666666666667,0,0.0,60,4.121739130434783,17,4.51,0,0.0,60,4.074999999999999
Bareja (area),22.85570000000007,72.59490000000005,4,4.6000000000000005,3,2.4,0,0.0,60,3.9833333333333343,3,,0,0.0,25,3.789473684210526
Behrampura,23.002780000000033,72.57706000000006,12,3.5625,19,3.6636363636363636,1,4.1,58,4.233333333333333,9,4.1,1,4.8,60,4.051428571428572
Bhairavnath Road,23.002575410797863,72.59815911107509,27,4.316666666666666,41,4.3375,1,2.5,60,4.18139534883721,7,4.0,3,3.55,60,4.033962264150944
Bopal,23.030320000000078,72.47247000000004,22,4.315789473684211,35,4.4,2,,60,4.104081632653061,10,3.983333333333334,5,3.9,60,4.180392156862745
Calico Mills (area),23.000980000000034,72.57459000000007,0,0.0,0,0.0,0,0.0,58,4.281818181818182,0,0.0,0,0.0,49,3.9034482758620688
Chandkheda,23.11214000000007,72.57989000000003,18,4.36875,16,4.072727272727272,3,4.65,60,3.9093023255813963,19,4.22,2,4.1,60,4.0249999999999995
Chandlodiya,23.087290000000053,72.54899000000006,7,4.283333333333333,21,3.9888888888888894,0,0.0,60,4.337837837837838,6,4.5,1,3.8,60,4.2042553191489365
Dabhoda,23.027760000000054,72.60027000000008,31,4.0249999999999995,43,4.1,1,,60,3.9863636363636363,38,4.380952380952381,1,5.0,58,3.973469387755101
Dariapur (Ahmedabad),23.036070000000052,72.59213000000005,37,4.0,40,4.248275862068966,0,0.0,60,4.0815789473684205,52,4.4624999999999995,1,,60,4.2265306122449
Ellis bridge (area),23.022390333701104,72.57669435394355,40,4.042857142857143,59,4.4,0,0.0,60,3.8960000000000004,13,3.85,0,0.0,60,3.9769230769230766
Ghatlodiya,23.07275000000004,72.54964000000007,20,4.26875,18,3.842857142857143,0,0.0,60,4.379487179487178,6,4.05,2,4.25,60,4.133333333333335
Ghodasar,22.974030000000035,72.61170000000004,20,4.356249999999999,23,4.388235294117647,0,0.0,60,4.2,11,4.114285714285715,3,4.5,60,4.136734693877551
Girdharnagar,23.050070000000066,72.59831000000008,23,4.314285714285714,26,3.9157894736842107,0,0.0,60,3.723684210526316,8,4.5200000000000005,5,3.6666666666666665,60,3.6058823529411765
Gita Mandir Road,23.006018549998913,72.59080240924993,17,4.433333333333334,21,4.13125,1,,60,3.9547619047619054,7,3.0,1,4.8,60,4.120930232558139
Godhavi,23.028490000000033,72.40776000000005,0,0.0,4,3.0,0,0.0,58,4.080645161290323,0,0.0,0,0.0,4,4.6000000000000005
Gomtipur,23.01597000000004,72.61082000000005,14,4.116666666666667,25,3.9733333333333336,0,0.0,58,3.8605263157894734,2,5.0,0,0.0,60,4.145
"Gota, Gujarat",23.101730000000032,72.53900000000004,11,4.616666666666666,34,4.322727272727273,0,0.0,60,4.414285714285715,8,4.28,2,3.4,60,4.184782608695653
Isanpur,22.97137000000004,72.59743000000003,13,4.163636363636363,15,4.266666666666667,0,0.0,60,4.035555555555555,11,4.466666666666667,0,0.0,56,4.130303030303031
"Jamalpur, Gujarat",23.01265000000007,72.58458000000007,24,4.0625,25,4.1049999999999995,1,,60,4.1305555555555555,15,3.7599999999999993,1,4.8,60,4.152631578947369
Jawahar Chowk,23.089520000000054,72.58551000000007,0,0.0,0,0.0,0,0.0,40,4.117857142857143,6,4.4,0,0.0,59,4.195454545454546
Jholapur,23.027760000000054,72.60027000000008,31,4.0249999999999995,43,4.1,1,,60,3.9863636363636363,38,4.380952380952381,1,5.0,38,3.9793103448275855
Jivrajpark,23.006100000000053,72.53149000000008,25,3.993749999999999,25,4.0055555555555555,1,4.1,60,4.12972972972973,4,3.5666666666666664,2,4.3,60,4.113953488372093
"Jodhpur, Gujarat",23.02063000000004,72.52522000000005,31,4.281481481481482,58,4.274509803921568,1,,60,4.282608695652174,16,3.855555555555555,8,4.25,60,4.105769230769233
Juhapura,22.998620000000077,72.52433000000008,29,4.26,20,4.252941176470588,0,0.0,58,4.41578947368421,7,4.04,3,3.6999999999999997,60,4.088372093023256
Kabirchowk,23.09025745274659,72.58551179799491,6,4.666666666666667,13,4.075,1,5.0,60,3.9899999999999998,7,4.533333333333334,0,0.0,60,4.195652173913044
Kalupur,23.02825000000007,72.59372000000008,38,4.057142857142857,60,4.021951219512196,2,,60,3.9850000000000003,52,4.25625,1,5.0,60,4.10909090909091
Kalyanpura (Ahmedabad),23.04764000000005,72.56149000000005,23,4.236842105263158,53,4.591666666666666,0,0.0,60,4.383720930232559,11,4.414285714285714,2,3.9000000000000004,60,4.1361702127659585
"Khadia, Ahmedabad",23.020770000000034,72.59244000000007,33,4.08695652173913,54,4.1157894736842096,1,,60,4.045,34,4.2,2,4.1,60,4.191836734693877
Kharna,23.027760000000054,72.60027000000008,31,4.0249999999999995,43,4.1,1,,60,3.9863636363636363,38,4.380952380952381,1,5.0,58,3.973469387755101
Khodiyarnagar,23.034350000000078,72.64652000000007,12,4.254545454545454,19,4.233333333333333,1,3.0,58,4.164102564102564,15,4.3125,0,0.0,60,4.1175
Khokhra,23.00580959394864,72.61333409499983,19,4.473333333333333,32,4.447826086956522,2,4.3,60,4.236363636363638,8,3.675,0,0.0,60,3.996000000000001
Lambha,22.93802000000005,72.58586000000008,1,,4,4.3999999999999995,0,0.0,60,4.530434782608697,0,0.0,0,0.0,15,4.46
Makarba,22.996920000000053,72.49837000000008,4,3.4,30,4.459090909090909,0,0.0,60,4.412244897959185,4,4.85,0,0.0,60,4.267441860465116
Maninagar,23.005260000000078,72.60731000000004,0,0.0,7,4.683333333333334,0,0.0,0,0.0,0,0.0,3,3.55,40,3.955172413793104
Memnagar,23.05610000000007,72.53034000000008,39,4.396875,51,4.540000000000001,0,0.0,60,4.147222222222222,9,3.9857142857142853,2,4.25,60,4.150000000000001
Mithakali,23.02851000000004,72.56525000000005,18,4.071428571428571,60,4.209302325581396,3,4.5,60,3.910204081632654,16,3.7699999999999996,9,4.028571428571429,58,3.9818181818181824
Motera,23.103190000000037,72.60513000000003,16,3.971428571428571,35,4.447826086956522,0,0.0,60,4.1780487804878055,6,4.85,4,4.5,60,4.098181818181819
Naranpura,23.055060000000022,72.55557000000005,31,4.42,37,4.303846153846154,2,4.3,60,4.1179487179487175,12,4.366666666666666,3,3.9,58,4.090196078431372
Naroda,23.07293000000004,72.65378000000005,20,4.208333333333333,18,3.925,0,0.0,60,4.163829787234043,6,3.6,1,4.0,60,4.004761904761905
Nava Vadaj,23.060240000000075,72.56671000000007,25,4.21875,18,4.35,0,0.0,60,4.263888888888889,8,4.5,1,5.0,60,4.058695652173912
Navjivan (Neighbourhood),23.044130000000052,72.56883000000005,34,4.345454545454545,60,4.276595744680851,2,,60,3.890243902439025,7,4.35,2,4.4,60,4.245652173913044
