Neighbourhood,Latitude,Longitude,School_Count,Mean_school_rating,University_Count,Mean_university_rating,Bookstore_Count,Mean_bookstore_rating,Museum_Count,Mean_museum_rating,Library_Count,Mean_library_rating
Agol,23.027760000000054,72.60027000000008,58,4.262857142857143,12,3.888888888888889,49,4.29047619047619,11,4.433333333333334,3,4.766666666666667
Ahmedabad Cantonment,23.027760000000054,72.60027000000008,58,4.262857142857143,12,3.888888888888889,49,4.29047619047619,11,4.433333333333334,3,4.766666666666667
Alam Roza,23.00212000000005,72.54979000000003,60,4.428571428571429,21,4.473333333333333,7,3.4333333333333336,3,,7,4.366666666666667
Ambawadi,23.018850000000054,72.55441000000008,58,4.440540540540541,57,4.294736842105264,9,3.55,8,4.85,4,3.8666666666666667
Amraiwadi,23.007350000000034,72.62268000000007,60,3.8371428571428576,11,4.25,10,4.45,3,3.9,4,3.9749999999999996
Anand Nagar (Ahmedabad),23.011390000000066,72.51712000000003,57,4.223809523809525,24,4.383333333333334,14,4.187499999999999,4,4.6,5,4.7
Asarwa,23.04708000000005,72.60481000000004,56,3.8481481481481477,16,4.346153846153846,11,3.6333333333333337,2,4.65,3,3.25
Asarwa Chakla,23.04225742945364,72.60456625728018,58,3.908333333333333,11,4.225,11,3.757142857142857,2,5.0,3,3.5
Bahiyal,23.027760000000054,72.60027000000008,58,4.262857142857143,12,3.888888888888889,49,4.29047619047619,11,4.433333333333334,3,4.766666666666667
Bapunagar,23.034760000000066,72.63024000000007,60,4.397500000000001,17,4.3999999999999995,6,3.883333333333333,2,,2,4.35
Bareja (area),22.85570000000007,72.59490000000005,18,4.211111111111112,4,1.0,1,3.0,0,0.0,0,0.0
Behrampura,23.002780000000033,72.57706000000006,49,4.404166666666667,4,3.7,2,4.5,0,0.0,1,5.0
Bhairavnath Road,23.002575410797863,72.59815911107509,60,4.13409090909091,25,4.035294117647058,12,3.8875,6,4.62,2,4.550000000000001
Bopal,23.030320000000078,72.47247000000004,60,4.545945945945946,9,4.975,5,4.46,0,0.0,2,3.85
Calico Mills (area),23.000980000000034,72.57459000000007,39,4.415789473684211,5,3.733333333333333,1,5.0,0,0.0,1,5.0
Chandkheda,23.11214000000007,72.57989000000003,60,4.202564102564103,11,4.875,5,4.233333333333333,1,,4,4.8999999999999995
Chandlodiya,23.087290000000053,72.54899000000006,60,4.136111111111111,8,4.58,1,,1,,1,3.3
Dabhoda,23.027760000000054,72.60027000000008,58,4.262857142857143,12,3.888888888888889,49,4.29047619047619,11,4.433333333333334,3,4.766666666666667
Dariapur (Ahmedabad),23.036070000000052,72.59213000000005,60,3.9250000000000003,10,3.8857142857142857,20,4.175,11,3.5111111111111115,2,4.5
Ellis bridge (area),23.022390333701104,72.57669435394355,60,4.136,52,4.239393939393938,34,4.05,8,4.416666666666667,8,3.75
Ghatlodiya,23.07275000000004,72.54964000000007,60,4.2475000000000005,8,4.74,8,4.025,1,,5,4.324999999999999
Ghodasar,22.974030000000035,72.61170000000004,60,4.112820512820513,10,3.75,8,4.92,1,5.0,1,3.7
Girdharnagar,23.050070000000066,72.59831000000008,60,4.047222222222222,26,4.465,13,3.663636363636364,5,4.55,4,4.566666666666666
Gita Mandir Road,23.006018549998913,72.59080240924993,60,4.105,8,4.3,12,4.0,5,4.333333333333333,2,4.85
Godhavi,23.028490000000033,72.40776000000005,12,3.9499999999999997,0,0.0,0,0.0,0,0.0,0,0.0
Gomtipur,23.01597000000004,72.61082000000005,49,4.003846153846154,4,3.9,0,0.0,0,0.0,0,0.0
"Gota, Gujarat",23.101730000000032,72.53900000000004,54,4.5280000000000005,9,4.466666666666667,0,0.0,1,5.0,0,0.0
Isanpur,22.97137000000004,72.59743000000003,60,3.9411764705882355,11,4.566666666666666,3,5.0,0,0.0,0,0.0
"Jamalpur, Gujarat",23.01265000000007,72.58458000000007,60,4.094285714285714,5,3.966666666666667,10,4.628571428571428,7,4.0,1,
Jawahar Chowk,23.089520000000054,72.58551000000007,45,3.8448275862068964,8,4.314285714285715,8,3.7285714285714286,0,0.0,2,5.0
Jholapur,23.027760000000054,72.60027000000008,58,4.262857142857143,12,3.888888888888889,49,4.29047619047619,11,4.433333333333334,3,4.766666666666667
Jivrajpark,23.006100000000053,72.53149000000008,60,4.084848484848483,10,3.871428571428571,4,4.3,0,0.0,3,4.8
"Jodhpur, Gujarat",23.02063000000004,72.52522000000005,58,4.485416666666666,39,4.4300000000000015,11,4.0285714285714285,5,3.65,4,4.033333333333333
Juhapura,22.998620000000077,72.52433000000008,60,4.221052631578948,11,4.057142857142857,10,3.96,0,0.0,4,4.8
Kabirchowk,23.09025745274659,72.58551179799491,48,3.8689655172413793,6,4.6,8,3.7285714285714286,0,0.0,2,5.0
Kalupur,23.02825000000007,72.59372000000008,60,4.143243243243243,23,3.6199999999999997,60,4.103030303030303,17,3.725,7,4.18
