Hospital_Count,Mean_hospital_rating,Doctor_Count,Mean_doctor_rating,Dentist_Count,Mean_dentist_rating,Pharmacy_Count,Mean_pharmacy_rating,Physiotherapist_Count,Mean_physiotherapist_rating,School_Count,Mean_school_rating,University_Count,Mean_university_rating,Bookstore_Count,Mean_bookstore_rating,Museum_Count,Mean_museum_rating,Library_Count,Mean_library_rating,Bakery_Count,Mean_bakery_rating,Cafe_Count,Mean_cafe_rating,ConvenienceStore_Count,Mean_conveniencestore_rating,Food_Count,Mean_Food_rating,Supermarket_Count,Mean_supermarket_rating,MealDelivery_Count,Mean_mealdelivery_rating,Restaurant_Count,Mean_restaurant_rating,labels,Neighbourhood,Latitude,Longitude
33,4.4750000000000005,45,4.7125,12,4.8125,39,4.420833333333333,0,0.0,58.0,4.262857142857143,12.0,3.888888888888889,49.0,4.2904761904761894,11.0,4.433333333333334,3.0,4.766666666666667,31.0,4.025,43.0,4.1,1.0,0.0,60.0,3.986363636363636,38.0,4.380952380952381,1.0,5.0,58.0,3.9734693877551015,0,Agol,23.027760000000054,72.60027000000008
33,4.4750000000000005,45,4.7125,12,4.8125,39,4.420833333333333,0,0.0,58.0,4.262857142857143,12.0,3.888888888888889,49.0,4.2904761904761894,11.0,4.433333333333334,3.0,4.766666666666667,31.0,4.025,43.0,4.1,1.0,0.0,60.0,3.986363636363636,38.0,4.380952380952381,1.0,5.0,58.0,3.9734693877551015,0,Ahmedabad Cantonment,23.027760000000054,72.60027000000008
60,4.48918918918919,60,4.169444444444443,32,4.942857142857143,60,4.3516129032258055,10,4.76,60.0,4.428571428571429,21.0,4.473333333333333,7.0,3.4333333333333336,3.0,0.0,7.0,4.366666666666667,24.0,4.25,15.0,4.333333333333333,0.0,0.0,60.0,3.9422222222222234,5.0,4.033333333333333,2.0,4.1,60.0,4.275,0,Alam Roza,23.00212000000005,72.54979000000003
60,4.578571428571428,60,4.369767441860463,56,4.493548387096775,60,4.4057142857142875,10,4.542857142857144,58.0,4.440540540540541,57.0,4.294736842105263,9.0,3.55,8.0,4.85,4.0,3.8666666666666663,21.0,4.375,53.0,4.230952380952382,1.0,0.0,60.0,3.9094339622641514,6.0,4.525,5.0,3.5,60.0,4.091836734693878,0,Ambawadi,23.018850000000054,72.55441000000008
47,4.144444444444444,27,4.607692307692306,16,4.655555555555555,40,3.968181818181818,3,4.95,60.0,3.8371428571428576,11.0,4.25,10.0,4.45,3.0,3.9,4.0,3.975,14.0,4.344444444444445,25.0,4.150000000000001,1.0,0.0,60.0,4.008333333333334,15.0,4.369999999999999,0.0,0.0,60.0,4.027083333333335,0,Amraiwadi,23.007350000000034,72.62268000000007
60,4.568181818181818,60,4.548717948717949,60,4.7804878048780495,60,4.253488372093023,8,4.94,57.0,4.223809523809525,24.0,4.383333333333334,14.0,4.187499999999999,4.0,4.6,5.0,4.7,40.0,4.342857142857143,60.0,4.189361702127658,3.0,4.1,60.0,4.0425,20.0,4.283333333333333,8.0,4.071428571428571,60.0,4.101923076923076,0,Anand Nagar (Ahmedabad),23.011390000000066,72.51712000000003
60,4.34047619047619,44,4.666666666666668,9,4.275,55,4.310714285714285,2,5.0,56.0,3.848148148148148,16.0,4.346153846153847,11.0,3.6333333333333337,2.0,4.65,3.0,3.25,11.0,4.2125,16.0,4.325,0.0,0.0,58.0,4.096774193548389,6.0,4.5,2.0,0.0,60.0,3.9693877551020407,2,Asarwa,23.04708000000005,72.60481000000004
60,4.294444444444443,36,4.807142857142859,5,4.4,37,4.227777777777779,1,0.0,58.0,3.908333333333333,11.0,4.225,11.0,3.7571428571428567,2.0,5.0,3.0,3.5,12.0,4.19,18.0,4.5,0.0,0.0,60.0,4.392105263157895,10.0,4.257142857142857,1.0,0.0,60.0,4.102127659574469,2,Asarwa Chakla,23.04225742945364,72.60456625728018
0,0.0,0,0.0,0,0.0,1,5.0,0,0.0,58.0,4.262857142857143,12.0,3.888888888888889,49.0,4.2904761904761894,11.0,4.433333333333334,3.0,4.766666666666667,31.0,4.025,43.0,4.1,1.0,0.0,60.0,3.986363636363636,38.0,4.380952380952381,1.0,5.0,58.0,3.9734693877551015,1,Bahiyal,23.027760000000054,72.60027000000008
33,4.4750000000000005,45,4.7125,12,4.8125,39,4.420833333333333,0,0.0,60.0,4.397500000000001,17.0,4.4,6.0,3.8833333333333333,2.0,0.0,2.0,4.35,16.0,4.253846153846154,37.0,4.341666666666667,0.0,0.0,60.0,4.121739130434783,17.0,4.51,0.0,0.0,60.0,4.074999999999998,2,Bapunagar,23.034760000000066,72.63024000000007
